SchemaVersion,TableId,FileName,PrimaryKey
1,RuntimeSmoke,runtime_smoke.csv,Id
1,RuntimeSmokeEffects,runtime_smoke_effects.csv,Id
1,Characters,characters.csv,Id
1,CharacterAliases,character_aliases.csv,Id
1,Cards,cards.csv,Id
1,CardEffects,card_effects.csv,Id
1,Elements,elements.csv,Id
1,Statuses,statuses.csv,Id
1,Reactions,reactions.csv,Id
1,WeaponTypes,weapon_types.csv,Id
1,Weapons,weapons.csv,Id
1,AttackSteps,attack_steps.csv,Id
1,SlotTypes,slot_types.csv,Id
1,SlotProfiles,slot_profiles.csv,Id
1,Parts,parts.csv,Id
1,PartEffects,part_effects.csv,Id
1,Enemies,enemies.csv,Id
1,EnemyAbilities,enemy_abilities.csv,Id
1,BossPhases,boss_phases.csv,Id
1,AudioEvents,audio_events.csv,EventId
