Id,WeaponTypeId,SlotTypeId,SlotCount,Required,Enabled,SourceSheet,SourceRow,DisabledReason
SP_LONGSWORD_CORE,LongSword,Core,1,true,true,武器插槽C,2,
SP_LONGSWORD_GRIP,LongSword,Grip,1,false,true,武器插槽C,43,
SP_LONGSWORD_BLADE,LongSword,SwordBlade,1,false,true,武器插槽C,36,
SP_SCYTHE_CORE,Scythe,Core,1,true,true,武器插槽C,2,
SP_SCYTHE_GRIP,Scythe,Grip,1,false,true,武器插槽C,32,
SP_SCYTHE_ROTARY,Scythe,RotaryBlade,1,false,true,武器插槽C,26,
SP_BOW_CORE,Bow,Core,1,true,true,武器插槽C,2,
SP_BOW_ARROWHEAD,Bow,Arrowhead,1,false,true,武器插槽C,16,
SP_BOW_BOWSTRING,Bow,Bowstring,1,false,true,武器插槽C,22,
SP_GUN_CORE,Gun,Core,1,true,true,武器插槽C,2,
SP_GUN_MUZZLE,Gun,Muzzle,1,false,true,武器插槽C,48,
SP_GUN_ACTION,Gun,GunAction,1,false,true,武器插槽C,54,
