Id,CardId,Order,Trigger,EffectKind,Target,ValueOp,Value,BehaviorId,ParamName,ParamValue
G_1_01_MOVE,G_1_01,1,OnGrant,StatModifier,MovementSpeed,Add,0.1,Card.StatModifier,None,0
G_1_02_MAX,G_1_02,1,OnGrant,StatModifier,HpMax,Add,8,Card.StatModifier,None,0
G_1_02_HEAL,G_1_02,2,OnGrant,InstantRecovery,HpPoint,Add,8,Card.InstantRecovery,None,0
G_1_03_PATK,G_1_03,1,OnGrant,StatModifier,PhysicalAttack,Add,4,Card.StatModifier,None,0
G_1_04_EATK,G_1_04,1,OnGrant,StatModifier,ElementalAttack,Add,4,Card.StatModifier,None,0
G_1_05_CRIT_RATE,G_1_05,1,OnGrant,StatModifier,CriticalRate,Add,0.25,Card.StatModifier,None,0
G_1_05_CRIT_EFFECT,G_1_05,2,OnGrant,StatModifier,CriticalEffect,Add,0.25,Card.StatModifier,None,0
G_1_06_REACTION,G_1_06,1,OnGrant,StatModifier,ReactionEfficiency,Add,0.25,Card.StatModifier,None,0
G_1_07_ECHO,G_1_07,1,OnGrant,StatModifier,EchoEfficiency,Add,0.1,Card.StatModifier,None,0
G_1_08_GRANT,G_1_08,1,OnGrant,CardBehavior,Tier,Override,2,Card.GrantTier,Count,1
G_2_04_TRADE,G_2_04,1,OnGrant,CardBehavior,PhysicalOrElemental,Add,0.6,Card.RandomStatTrade,Penalty,0.3
G_2_05_TRACK,G_2_05,1,OnGrant,CardBehavior,PhysicalAttack,Add,1,Card.TrackNextKills,Threshold,5
G_2_06_TRACK,G_2_06,1,OnGrant,CardBehavior,ElementalAttack,Add,1,Card.TrackNextReactions,Threshold,4
G_2_07_AURA,G_2_07,1,OnEncounterTick,CardBehavior,Water,Override,2,Card.EchoElementAura,RadiusCm,400
G_2_08_AURA,G_2_08,1,OnEncounterTick,CardBehavior,Grass,Override,2,Card.EchoElementAura,RadiusCm,400
G_2_09_AURA,G_2_09,1,OnCompileRules,CardBehavior,MovementSpeed,Add,0.3,Card.EchoSlowAura,RadiusCm,400
G_2_10_GRANT,G_2_10,1,OnGrant,CardBehavior,Tier,Override,3,Card.GrantTier,Count,1
G_2_12_CRIT,G_2_12,1,BeforeOutgoingHit,CardBehavior,CriticalEffect,Add,1,Card.ElementAttachedCrit,None,0
G_2_13_HEAL,G_2_13,1,OnReaction,CardBehavior,HpPoint,Add,0.1,Card.ReactionHeal,CooldownSeconds,2
G_2_14_SUB,G_2_14,1,BeforeIncomingHit,CardBehavior,Damage,Override,0,Card.DamageSubstitution,FreeHitCount,3
G_2_15_DROP,G_2_15,1,OnGrant,CardBehavior,TimeShards,Multiply,1.5,Card.NextShardDrop,EncounterOffset,1
G_2_16_DISCOUNT,G_2_16,1,OnCompileRules,CardBehavior,ShopDiscount,Add,0.2,Card.ShopContract,None,0
G_2_16_PURCHASE,G_2_16,2,OnPurchase,CardBehavior,HpMaxAndPoint,Add,2,Card.ShopContract,None,0
G_2_17_STUN10,G_2_17,1,OnEncounterTick,CardBehavior,Stun,Override,2,Card.EncounterStun,TriggerSeconds,10
G_2_17_STUN20,G_2_17,2,OnEncounterTick,CardBehavior,Stun,Override,2,Card.EncounterStun,TriggerSeconds,20
G_3_01_ECHOES,G_3_01,1,OnResolveEchoes,CardBehavior,EchoCount,Override,2,Card.DoubleEcho,None,0
G_3_02_ANCHOR,G_3_02,1,OnResolveEchoes,CardBehavior,AnchorRecording,Override,1,Card.TimeAnchor,None,0
G_3_03_SOLO,G_3_03,1,OnGrant,CardBehavior,AllBaseStats,Multiply,2,Card.SoloBody,None,0
G_3_04_ECHO,G_3_04,1,OnCompileRules,CardBehavior,EchoHealth,Multiply,2,Card.TauntEcho,None,0
G_3_04_DEATH,G_3_04,2,OnEchoKilled,CardBehavior,HpMaxAndPoint,Add,5,Card.TauntEcho,None,0
G_3_05_ECHO_KILL,G_3_05,1,OnHitResolved,CardBehavior,PhysicalAndElementalAttack,Add,1,Card.SoulResonance,EchoKillThreshold,15
G_3_05_PLAYER_KILL,G_3_05,2,OnHitResolved,CardBehavior,EchoEfficiency,Add,0.02,Card.SoulResonance,PlayerKillThreshold,15
G_3_07_IMMUNITY,G_3_07,1,OnCompileRules,CardBehavior,EnemyElementImmunity,Override,0.5,Card.EnemyImmunity,None,0
G_3_09_ELEMENT,G_3_09,1,BeforeOutgoingHit,CardBehavior,RandomElement,Override,1,Card.CriticalElement,None,0
G_3_10_CRIT,G_3_10,1,BeforeOutgoingHit,CardBehavior,ElementCanCrit,Override,1,Card.ElementCanCrit,None,0
G_3_11_DISTANCE,G_3_11,1,BeforeOutgoingHit,CardBehavior,Damage,Add,0.04,Card.DistanceDamage,DistanceCm,200
G_3_12_ROLLS,G_3_12,1,BeforeOutgoingHit,CardBehavior,CriticalRollCount,Override,2,Card.DoubleCritRoll,None,0
G_3_13_GRANT,G_3_13,1,OnGrant,CardBehavior,MinimumGuaranteedTier,Override,3,Card.GrantTier,Count,2
G_3_14_FORGE,G_3_14,1,OnGrant,CardBehavior,HpMaxAndPoint,Add,1,Card.BloodForging,None,0
G_3_16_REFRESH,G_3_16,1,OnEncounterEnd,CardBehavior,FreeShopRefresh,Add,1,Card.EndKillRefresh,KillThreshold,10
G_3_17_HARVEST,G_3_17,1,OnGrant,CardBehavior,TimeShards,Add,3000,Card.HarvestPenalty,PenaltyChoices,3
G_3_19_DAMAGE,G_3_19,1,BeforeOutgoingHit,CardBehavior,Damage,Add,0.2,Card.ShardOutgoingDamage,ShardCost,1
G_3_20_BARRIER,G_3_20,1,BeforeIncomingHit,CardBehavior,Damage,Add,-1,Card.ShardIncomingBarrier,ShardCost,5
G_3_21_DIVERSITY,G_3_21,1,OnReaction,CardBehavior,ReactionEfficiency,Add,0.05,Card.ReactionDiversity,DistinctCount,4
G_3_22_SLOTS,G_3_22,1,OnCompileRules,CardBehavior,NonCoreSlotCapacity,Multiply,2,Card.DoubleNonCoreSlots,None,0
G_2_23_TRADE,G_2_23,1,OnGrant,CardBehavior,ReactionOrCritical,Multiply,2,Card.RandomRateTrade,PenaltyMultiplier,0.5
G_3_23_HP_MAX,G_3_23,1,OnGrant,StatModifier,HpMax,Add,4,Card.StatModifier,None,0
